catalog_number,scan_name,provisional_id,layer_in_batch,scan_folder,trip_folder,element,side,site,scan_voxelsize_mm,scanned,true_voxelsize_mm,raw_ply,fill_ply,crop_ply,checked,notes,last_mod,scan_metadata,processor,mod_by,morphosource_tiff,morphosource_surface,morphosource_checked,morphosource_media,citation,"Folder Struct Check[0,1]"
UF326415,CAB11-0752,colpocherus<, ,CAB11-0752,201402,M/1 or M/2, ,v06061,0.004079552367,Y,0.004130061,X,X,X,:(,"chipped, not broken",3/1/14,201402-22,NSV, ,TRUE,TRUE,TRUE,M8822, ,1
UF326437,CAB11-0777,colpocherus, ,CAB11-0752,201402,M3/, ,v06061,0.004079552367,Y,0.004130061,X,BROKEN,:(,:(,"L=1.03; style gone; but this one is narrow - might be colpocherus? If yes, note open valley between ""metaconule"" ridge and metacone",9/6/16,201402-22,NSV, ,FALSE,FALSE,FALSE,, ,1
UF328392,CAB12-1009,erinaceomorpha, ,CAB11-0752,201402,M1/ or M2/, ,v06061,0.004079552367,Y,0.004130061,X,BROKEN,:(,:(,Metacone is missing; raw specimen lost in hard drive crash,12/10/17,201402-22,MMM, ,FALSE,FALSE,FALSE,, ,1
UF328395,CAB12-1012,macrocranion, ,CAB11-0752,201402,M3/, ,v06061,0.004079552367,Y,0.004130061,X,BROKEN,:(,:(,paracone broken - almost entirely gone,9/6/16,201402-22,NSV, ,FALSE,FALSE,FALSE,, ,1
UF328403,CAB12-1020,erinaceomorpha, ,CAB11-0752,201402,M/3, ,v06061,0.004079552367,Y,0.004130061,X,X,X,X,Raw file corrupted,5/23/16,201402-22,MMM, ,FALSE,FALSE,FALSE,, ,1
UF328404,CAB12-1021,erinaceomorpha, ,CAB11-0752,201402,M/3, ,v06061,0.004079552367,Y,0.004130061,X,BROKEN,:(,:(,"chip out of EDJ around anterolingual margin. Potentially saveable, but would be tricky.",5/17/16,201402-22,MMM, ,FALSE,FALSE,FALSE,, ,1
UF328407,CAB12-1024,colpocherus, ,CAB11-0752,201402,M/1 or M/2, ,v06061,0.004079552367,Y,0.004130061,X,X,X,BROKEN,entoconid sheared off. Cf. Colpocherus sp.?,5/28/15,201402-22,NSV, ,FALSE,FALSE,FALSE,, ,1
UF284306,UF284306,erinaceomorpha, ,CAB11-0752,201402,MX/,L,v12029,0.004079552367,Y,0.004130061,X,BROKEN,:(,:(,hypocone gone,1/2/17,201402-22,NSV, ,FALSE,FALSE,FALSE,, ,1
UF326363,CAB11-0699,erinaceomorpha, ,CAB11-0776,201402,M/3, ,v06061,0.004079552367,Y,0.004130061,X,X,X,X, ,5/17/16,201402-22,MMM, ,FALSE,FALSE,FALSE,, ,1
UF326436,CAB11-0776,macrocranion<, ,CAB11-0776,201402,M/2, ,v06061,0.004079552367,Y,0.004130061,X,X,X,:(,"chipped, not broken",3/1/14,201402-22,NSV, ,FALSE,FALSE,FALSE,, ,1
UF328394,CAB12-1011,erinaceomorpha,1,CAB11-0776,201402,MX/,R,v06061,0.004079552367,Y,0.004130061,X, , , X,original processing lost in hard drive crash; worn,4/7/17,201402-22,NSV, ,FALSE,FALSE,FALSE,, ,1
UF330170,CAB13-0781,erinaceomorpha, ,CAB11-0776,201402,M3/, ,v06061,0.004079552367,Y,0.004130061,X,X,X,X,"borderline too cracked, but interesting extra conules",4/11/17,201402-22,NSV, ,FALSE,FALSE,FALSE,, ,1
UF326499,CAB11-0839,macrocranion, ,CAB11-0839,201402,M/1 or M/2, ,v06061,0.003964321688,Y,0.004014592738,X,X,X,BROKEN,enamelless,3/1/14,201402-18,NSV, ,FALSE,FALSE,FALSE,, ,1
UF330159,CAB13-0770,eulipotyphla, ,CAB11-0839,201402,M/2, ,v06061,0.003964321688,Y,0.004014592738,X,X,X,WORN,talpavoides or macrocranion?,3/1/14,201402-18,NSV, ,TRUE,TRUE,TRUE,M10360, ,1
UF330163,CAB13-0774,macrocranion<, ,CAB11-0839,201402,M/2, ,v06061,0.003964321688,Y,0.004014592738,X,X,X,WORN, ,3/1/14,201402-18,NSV, ,TRUE,TRUE,TRUE,M10361, ,1
UF330175,CAB13-0786,erinaceomorpha, ,CAB11-0839,201402,M1/ or M2/, ,v06061,0.003964321688,Y,0.004014592738,X,BROKEN,:(,:(,this specimen got lost from spreadsheet at some point. entered back in 3 september 2019,5/24/16,201402-18,MMM, ,FALSE,FALSE,FALSE,, ,1
UF330177,CAB13-0788,erinaceomorpha, ,CAB11-0839,201402,M2/, ,v06061,0.003964321688,Y,0.004014592738, X,X,X,X,"raw file corrupted; specimen was accidentally rescanned in NV16 group, but scan failed. Here are copied notes: There are missing slices. Tried shift in slices (move 136+ -8px:x), did not work. Files deleted.",5/24/16,201402-18,MMM, ,FALSE,FALSE,FALSE,, ,1
UF330178,CAB13-0789,erinaceomorpha, ,CAB11-0839,201402,M1/ or M2/, ,v06061,0.003964321688,Y,0.004014592738,X,BROKEN,:(,:(,"Large hole in crown just above margin, maybe savable?",5/24/16,201402-18,MMM, ,FALSE,FALSE,FALSE,, ,1
UF283233,UF283233,macrocranion, ,CAB11-0839,201402,M3/, ,v12029,0.003964321688,Y,0.004014592738,X,X,X,:(,"worn, being picky",8/1/16,201402-18,SHH, ,FALSE,FALSE,FALSE,, ,1
UF283238,UF283238,erinaceomorpha, ,CAB11-0839,201402,M3/, ,v12029,0.003964321688,Y,0.004014592738,X,X,X,X, ,10/19/16,201402-18,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283241,UF283241,erinaceomorpha, ,CAB11-0839,201402,M3/, ,v12029,0.003964321688,Y,0.004014592738,X,X,X,X,style(?) broken? Colpocherus? Partial reconstruction. Questionable.,10/19/16,201402-18,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283459,UF283459,erinaceomorpha, ,CAB11-0839,201402,M/3, ,v12029,0.003964321688,Y,0.004014592738,X,X,X,X, ,11/1/16,201402-18,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283461,UF283461,erinaceomorpha, ,CAB11-0839,201402,M/3, ,v12029,0.003964321688,Y,0.004014592738,BROKEN,:(,:(,:(,missing cusps.,11/1/16,201402-18,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283463,UF283463,macrocranion, ,CAB11-0839,201402,M/3, ,v12029,0.003964321688,Y,0.004014592738,X,BROKEN,:(,:(,broken just a little high anteroventrally. Initially this was a miscropped copy of UF283459,4/25/17,201402-18,NSV, ,FALSE,FALSE,FALSE,, ,1
UF328399,CAB12-1016,erinaceomorpha, ,CAB12-1022,201402,MX/, ,v06061,0.003576719435,Y,0.003625684006,X,:(,:(,:(,chippy enamel,12/10/17,201402-13,NSV, ,FALSE,FALSE,FALSE,, ,1
UF328405,CAB12-1022,macrocranion, ,CAB12-1022,201402,M/1 or M/2, ,v06061,0.003576719435,Y,0.003625684006,X,X,X,BROKEN,entoconid too broken to reconstruct wear,3/1/14,201402-13,NSV, ,FALSE,FALSE,FALSE,, ,1
UF328408,CAB12-1025,erinaceomorpha, ,CAB12-1022,201402,M/1 or M/2, ,v06061,0.003576719435,Y,0.003625684006,X,BROKEN,:(,:(,enamelless?,12/10/17,201402-13,NSV, ,FALSE,FALSE,FALSE,, ,1
UF330166,CAB13-0777,erinaceomorpha, ,CAB12-1022,201402,M3/, ,v06061,0.003576719435,Y,0.003625684006,X, ,X,X,"fill file corrupted; duplicate in NV17 (UF_NRF) initially labelled CAB13-1070, moved here.",11/1/16,201402-13,NSV, ,FALSE,FALSE,FALSE,, ,1
UF284268,UF284268,erinaceomorpha, ,CAB12-1022,201402,M/3, ,v12029,0.003576719435,Y,0.003625684006,X,X,X,X,"surfaces corrupted, remade",2/13/17,201402-13,NSV, ,FALSE,FALSE,FALSE,, ,1
UF284304,UF284304,erinaceomorpha, ,CAB12-1022,201402,M1/,L,v12029,0.003576719435,Y,0.003625684006,X,BROKEN,:(,:(,"paracone broken? More importantly, the buccal and posterior edges are gone",10/19/16,201402-13,NSV, ,FALSE,FALSE,FALSE,, ,1
UF295471,UF295471,erinaceomorpha, ,CAB12-1022,201402,M3/,L,v12029,0.003576719435,Y,0.003625684006,X,X,X,X,"is actually a L M3/ not M/3 as written (assuming mirrored). How did it end up with in a layer that already had an M3/? Anyway, it's Macrocranion with rough enamel.",4/7/17,201402-13,NSV, ,FALSE,FALSE,FALSE,, ,1
UF328406,CAB12-1023,macrocranion, ,CAB12-1023,201402,M/1 or M/2, ,v06061,0.003964320653,Y,0.004014591701,X,X,X,BROKEN,enamelless,3/1/14,201402-17,NSV, ,TRUE,TRUE,TRUE,M10359, ,1
UF283240,UF283240,erinaceomorpha, ,CAB12-1023,201402,M3/, ,v12029,0.003964320653,Y,0.004014591701,X,X,X,X, ,10/19/16,201402-17,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283460,UF283460,erinaceomorpha, ,CAB12-1023,201402,M/3, ,v12029,0.003964320653,Y,0.004014591701,X,:(,:(,:(,protocone broken,1/23/17,201402-17,NSV, ,FALSE,FALSE,FALSE,, ,1
UF328411,CAB12-1028,plagioctenoides, ,CAB12-1028,201402,M/1 or M/2, ,v06061,0.003971259079,Y,0.004021546388,X,X,X,BROKEN,"strong wear/grunginess *RE_ID'd as M/1 or M/2,but with entire entoconid/hypoconulid complex sheared off",3/24/15,201402-20,KMC, ,FALSE,FALSE,FALSE,, ,1
UF284337,UF284337,plagioctenoides, ,CAB12-1028,201402,M/X, ,v12029,0.003971259079,Y,0.004021546388,X,BROKEN,:(,:(,"entoconid gone, originally mislabelled as an M/3",2/10/17,201402-20,NSV, ,FALSE,FALSE,FALSE,, ,1
UF295442,UF295442,plagioctenoides, ,CAB12-1028,201402,MX/, ,v12029,0.003971259079,Y,0.004021546388,X, , , X,files lost in hard drive crash,12/10/17,201402-20,BSB, ,FALSE,FALSE,FALSE,, ,1
UF328412,CAB12-1029,leptacodon_donkroni, ,CAB12-1031,201402,P/4, ,v06061,0.003971259079,Y,0.004021546388,X,X,X,X,"tall and pointy, still some apical wear on ""protoconid"" and ""metaconid""; protoconid arguably sheared or worn",3/24/15,201402-20,KMC, ,FALSE,FALSE,FALSE,, ,1
UF328414,CAB12-1031,plagioctenoides, ,CAB12-1031,201402,P/4, ,v06061,0.003971259079,Y,0.004021546388,X,BROKEN,:(,:(,"paraconid gone, otherwise okay",3/24/15,201402-20,KMC, ,FALSE,FALSE,FALSE,, ,1
UF284334,UF284334,plagioctenoides, ,CAB12-1031,201402,MX/, ,v12029,0.003971259079,Y,0.004021546388,X, ,x,X,raw and fill file lost in hard drive crash,3/22/16,201402-20,BSB, ,FALSE,FALSE,FALSE,, ,1
UF284341,UF284341,plagioctenoides, ,CAB12-1031,201402,MX/, ,v12029,0.003971259079,Y,0.004021546388,X, , ,X,"other files lost in hard drive crash; Much better. A couple of tiny holes got  opened on the surface, but those can be closed easily.",12/10/17,201402-20,BSB, ,FALSE,FALSE,FALSE,, ,1
UF295445,UF295445,plagioctenoides, ,CAB12-1031,201402,M/1 or M/2, ,v12029,0.003971259079,Y,0.004021546388,X,X,X,WORN,Really worn,3/9/15,201402-20,KLR, ,TRUE,TRUE,TRUE,M7532, ,1
UF295452,UF295452,plagioctenoides, ,CAB12-1031,201402,M/1 or M/2, ,v12029,0.003971259079,Y,0.004021546388,X,X,X,BROKEN,"chipped, not broken",3/9/15,201402-20,KLR, ,TRUE,TRUE,TRUE,M7533, ,1
UF330173,CAB13-0784,colpocherus, ,CAB12-1034,201402,"dentary M/1, M/3", ,v06061,0.004872333727,Y,0.00492260313,BROKEN,:(,:(,:(,"size rules out talpavoides, entoconid on M/1 says coplpocherus -- note relative sizes of M/1 and M/3! M/3 talonid broken M/1 : metaconid and paraconid half gone.",9/4/16,201402-24,NSV, ,FALSE,FALSE,FALSE,, ,**
UF330160,CAB13-0771,erinaceomorpha,2,CAB13-0775,201402,MX/,L,v06061,0.004184528396,Y,0.004235193296,X,X,X,X, ,5/24/16,201402-01,MMM, ,FALSE,FALSE,FALSE,, ,1
UF330161,CAB13-0772,erinaceomorpha,1,CAB13-0775,201402,MX/, ,v06061,0.004184528396,Y,0.004235193296,X,X,X,X,strange lingual cuspule; colpocherus?; duplicate in NV17 initially mislabelled CAB13-1878 moved to this folder.,8/23/16,201402-01,NSV, ,FALSE,FALSE,FALSE,, ,1
UF330164,CAB13-0775,macrocranion<,1,CAB13-0775,201402,M/2, ,v06061,0.004184528396,Y,0.004235193296,X,X,X,X, ,3/1/14,201402-01,NSV, ,TRUE,TRUE,TRUE,M12453, ,1
UF330167,CAB13-0778,talpavoides,3,CAB13-0775,201402,M/2, ,v06061,0.004184528396,Y,0.004235193296,X,X,X,X,"a little worn, arguably broken, but still relatively nice",7/4/17,201402-01,NSV,NSV,TRUE,TRUE,TRUE,M12454, ,1
UF330168,CAB13-0779,macrocranion,2,CAB13-0775,201402,M/1 or M/2, ,v06061,0.004184528396,Y,0.004235193296,X,X,X,BROKEN,protoconid sheared off,3/1/14,201402-01,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283234,UF283234,erinaceomorpha,2,CAB13-0775,201402,M/3, ,v12029,0.004184528396,Y,0.004235193296,X,X,X,X,initially mislabelled UF283464,1/24/17,201402-01,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283235,UF283235,erinaceomorpha,3,CAB13-0775,201402,M/3, ,v12029,0.004184528396,N,0.004235193296,BAD SCAN,:(,:(,:(,SCAN CUT OFF: NEED TO RESCAN,8/1/16,201402-01,SHH, ,FALSE,FALSE,FALSE,, ,"skiped UF283235 and UF295480: the notes from each of these give information that these two scans did not work, so there is likely no folder or files and nothing to put on MorphoSource"
UF283236,UF283236,erinaceomorpha,1,CAB13-0775,201402,M/3, ,v12029,0.004184528396,Y,0.004235193296,X,X,X,X, ,8/23/16,201402-01,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283456,UF283456,erinaceomorpha,1,CAB13-0775,201402,M3/,R,v12029,0.004184528396,Y,0.004235193296,X,X,X,X,some chipped enamel,4/11/17,201402-01,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283464,UF283464,macrocranion,2,CAB13-0775,201402,M3/,R,v12029,0.004184528396,Y,0.004235193296,X,BROKEN,:(,:(,"protocone broken. Interesting crests; on the small side, cf. CAB14-2219",8/23/16,201402-01,NSV, ,FALSE,FALSE,FALSE,, ,1
UF284303,UF284303,erinaceomorpha,3,CAB13-0775,201402,MX/,L,v12029,0.004184528396,Y,0.004235193296,X,X,X,X,re-isolated 8/23/16,8/23/16,201402-01,NSV, ,FALSE,FALSE,FALSE,, ,1
UF330169,CAB13-0780,macrocranion<, ,CAB13-0780,201402,M/2, ,v06061,0.004643347328,Y,0.004694021882,X,X,X,WORN, ,3/1/14,201402-02,NSV, ,TRUE,TRUE,TRUE,M12455, ,1
UF330171,CAB13-0782,macrocranion<, ,CAB13-0780,201402,M/2, ,v06061,0.004643347328,Y,0.004694021882,X,X,X,X, ,3/1/14,201402-02,NSV, ,TRUE,TRUE,FALSE,M41148, ,1
UF330176,CAB13-0787,macrocranion, ,CAB13-0780,201402,M/1 or M/2, ,v06061,0.004643347328,Y,0.004694021882,X,X,X,BROKEN,"protoconid partly gone, but maybe wear? Also called 13-0737 but I'm fairly certain it should be an 8, not a 3",3/1/14,201402-02,NSV, ,TRUE,TRUE,TRUE,M12460, ,1
UF283230,UF283230,macrocranion, ,CAB13-0780,201402,M3/, ,v12029,0.004643347328,Y,0.004694021882,X,X,X,:(,chipped enamel; being picky,4/10/17,201402-02,SHH, ,FALSE,FALSE,FALSE,, ,1
UF283254,UF283254,macrocranion, ,CAB13-0780,201402,M3/, ,v12029,0.004643347328,Y,0.004694021882,X,BROKEN,:(,:(,metacone sheared,10/19/16,201402-02,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283281,UF283281,erinaceomorpha, ,CAB13-0780,201402,MX/, ,v12029,0.004643347328,Y,0.004694021882,X,BROKEN,:(,:(,"very worn, large chips of enamel gone",10/19/16,201402-02,NSV, ,FALSE,FALSE,FALSE,, ,1
UF284302,UF284302,erinaceomorpha, ,CAB13-0780,201402,M1/,L,v12029,0.004643347328,Y,0.004694021882,X,X,X,X,colpocherus?,10/19/16,201402-02,NSV, ,FALSE,FALSE,FALSE,, ,1
UF284305,UF284305,erinaceomorpha, ,CAB13-0780,201402,M1/, ,v12029,0.004643347328,Y,0.004694021882,X,X,X,X, ,10/19/16,201402-02,NSV, ,FALSE,FALSE,FALSE,, ,1
UF295480,UF295480,erinaceomorpha, ,CAB13-0780,201402,M3/, ,v12029,0.004643347328,N,0.004694021882,BAD SCAN,:(,:(,:(,"scan didn't work, from February notes",10/19/16,201402-02,NSV, ,FALSE,FALSE,FALSE,, ,"skiped UF283235 and UF295480: the notes from each of these give information that these two scans did not work, so there is likely no folder or files and nothing to put on MorphoSource"
UF283301,UF283301,erinaceomorpha, ,UF283319,201402,MX/, ,v12029,0.003679485992,Y,0.003728873149,X,X,X,X, ,9/6/16,201402-03,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283319,UF283319,macrocranion<, ,UF283319,201402,M/1, ,v12029,0.003679485992,Y,0.003728873149,X,X,X,X, ,3/1/14,201402-03,NSV, ,TRUE,TRUE,TRUE,M7662, ,1
UF283453,UF283453,erinaceomorpha, ,UF283319,201402,M/3, ,v12029,0.003679485992,Y,0.003728873149,X,:(,:(,:(,rough scan,9/6/16,201402-03,NSV, ,FALSE,FALSE,FALSE,, ,1
UF295459,UF295459,erinaceomorpha, ,UF283319,201402,M3/,R,v12029,0.003679485992,Y,0.003728873149,X,X,X,X, ,9/6/16,201402-03,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283322,UF283322,macrocranion<, ,UF283322,201402,M/1 or M/2, ,v12029,0.003679485992,Y,0.003728873149,X,X,X,BROKEN,"extensive chipping, no breaking",3/1/14,201402-03,NSV, ,TRUE,TRUE,TRUE,M7661, ,1
UF283449,UF283449,erinaceomorpha, ,UF283322,201402,M/3, ,v12029,0.003679485992,Y,0.003728873149,X,X,X,X, ,1/2/17,201402-03,NSV, ,FALSE,FALSE,FALSE,, ,1
UF284321,UF284321,erinaceomorpha, ,UF283322,201402,MX/,L,v12029,0.003679485992,Y,0.003728873149,X,X,X,X, ,9/6/16,201402-03,NSV, ,FALSE,FALSE,FALSE,, ,1
UF295481,UF295481,macrocranion, ,UF283322,201402,M3/,R,v12029,0.004470442422,Y,0.003728873149,X,:(,:(,:(,rough surface,9/6/16,201402-03,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283317,UF283317,macrocranion<, ,UF283324,201402,M/1, ,v12029,0.005400823429,Y,0.005449115738,X,X,X,WORN, ,3/1/14,201402-04,NSV, ,TRUE,TRUE,TRUE,M7659, ,1
UF283324,UF283324,colpocherus, ,UF283324,201402,M/2, ,v12029,0.005400823429,Y,0.005449115738,X,X,X,X, ,7/3/17,201402-04,NSV, ,TRUE,TRUE,TRUE,M7658, ,1
UF283452,UF283452,erinaceomorpha, ,UF283324,201402,M/3, ,v12029,0.005400823429,Y,0.005449115738,X,X,X,X, ,1/3/17,201402-04,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283455,UF283455,erinaceomorpha, ,UF283324,201402,M/3, ,v12029,0.005400823429,Y,0.005449115738,X,X,X,X, ,1/3/17,201402-04,NSV, ,FALSE,FALSE,FALSE,, ,1
UF284320,UF284320,erinaceomorpha, ,UF283324,201402,M2/,L,v12029,0.005400823429,Y,0.005449115738,X,X,X,X,"another one with odd cuspule, but paracone broken. Will have to cut?",9/6/16,201402-04,NSV, ,FALSE,FALSE,FALSE,, ,1
UF284322,UF284322,erinaceomorpha, ,UF283324,201402,M2/,L,v12029,0.005400823429,Y,0.005449115738,X,X,X,X,332 or 322? Files changed to match database entry: 322; metacone chipped,9/6/16,201402-04,NSV, ,FALSE,FALSE,FALSE,, ,1
UF295458,UF295458,erinaceomorpha, ,UF283324,201402,M3/, ,v12029,0.005400823429,Y,0.005449115738,X,X,X,X, ,9/6/16,201402-04,NSV, ,FALSE,FALSE,FALSE,, ,1
UF295463,UF295463,macrocranion, ,UF283324,201402,M3/,L,v12029,0.005400823429,Y,0.005449115738,X,:(,:(,:(,being picky; some lost enamel,9/6/16,201402-04,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283288,UF283288,erinaceomorpha, ,UF283325,201402,M1/, ,v12029,0.004470442422,Y,0.004521242019,X,X,X,X, ,9/6/16,201402-29,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283325,UF283325,macrocranion, ,UF283325,201402,M/1 or M/2, ,v12029,0.004470442422,Y,0.004521242019,X,X,X,BROKEN,"just the entoconid partially missing, but I think there are legitimately pieces missing",3/1/14,201402-29,NSV, ,TRUE,TRUE,TRUE,M7660, ,1
UF283451,UF283451,erinaceomorpha, ,UF283325,201402,M/3, ,v12029,0.004470442422,Y,0.004521242019,X,BROKEN,:(,:(,rough enamel,1/2/17,201402-29,NSV, ,FALSE,FALSE,FALSE,, ,1
UF295482,UF295482,macrocranion, ,UF283325,201402,M3/,R,v12029,0.004470442422,Y,0.004521242019,X, , , X,being picky; rough surface -- but probably colpocherus,9/6/16,201402-29,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283328,UF283328,erinaceomorpha, ,UF283328,201402,M/2, ,v12029,0.004470442422,Y,0.004521242019,X,X,BROKEN,:(,break creeps too far up anterioventral edge :(,5/28/15,201402-29,NSV, ,TRUE,TRUE,TRUE,M7656, ,1
UF283454,UF283454,erinaceomorpha, ,UF283328,201402,M/3, ,v12029,0.004470442422,Y,0.004521242019,X,BROKEN,:(,:(,paraconid broken,1/2/17,201402-29,NSV, ,FALSE,FALSE,FALSE,, ,1
UF284272,UF284272,erinaceomorpha, ,UF283328,201402,M1/, ,v12029,0.004470442422,Y,0.004521242019,X,X,X,X, ,8/23/16,201402-29,NSV, ,FALSE,FALSE,FALSE,, ,1
UF295461,UF295461,colpocherus, ,UF283328,201402,M3/, ,v12029,0.004470442422,Y,0.004521242019,X,X,X,X,"maybe colpocherus? Indented buccal border, narrow, larger parastylar shelf (right term?), less hint of a hypocone",9/4/16,201402-29,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283248,UF283248,erinaceomorpha, ,UF283332,201402,M3/, ,v12029,0.003881369252,Y,0.003931426479,X,X,X,X, ,9/4/16,201402-16,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283253,UF283253,macrocranion, ,UF283332,201402,M3/, ,v12029,0.003881369252,Y,0.003931426479,X,:(,:(,:(,being picky; rough surface,9/4/16,201402-16,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283279,UF283279,erinaceomorpha, ,UF283332,201402,M1/ or M2/, ,v12029,0.003881369252,Y,0.003931426479,X,:(,:(,:(,broken metacone,9/4/16,201402-16,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283285,UF283285,erinaceomorpha, ,UF283332,201402,MX/,L,v12029,0.003881369252,Y,0.003931426479,X, , , X,"being picky; paracone and metacone quite worn, rough",9/4/16,201402-16,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283330,UF283330,macrocranion<, ,UF283332,201402,M/1 or M/2, ,v12029,0.003881369252,Y,0.003931426479,X,X,X,:(, ,3/1/14,201402-16,NSV, ,TRUE,TRUE,TRUE,M7949, ,1
UF283332,UF283332,macrocranion, ,UF283332,201402,M/1 or M/2, ,v12029,0.003881369252,Y,0.003931426479,X,X,X,BROKEN,protoconid gone,3/1/14,201402-16,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283333,UF283333,macrocranion<, ,UF283333,201402,M/2, ,v12029,0.004776917864,Y,0.004827389263,X,X,X,WORN, ,3/1/14,201402-32,NSV, ,TRUE,TRUE,TRUE,M7792, ,1
UF284267,UF284267,erinaceomorpha, ,UF283333,201402,M/3, ,v12029,0.004776917864,Y,0.004827389263,X,X,X,X, ,1/2/17,201402-32,NSV, ,FALSE,FALSE,FALSE,, ,1
UF284314,UF284314,erinaceomorpha, ,UF283333,201402,M2/,L,v12029,0.004776917864,Y,0.004827389263,X,X,X,X, ,9/4/16,201402-32,NSV, ,FALSE,FALSE,FALSE,, ,1
UF295467,UF295467,erinaceomorpha, ,UF283333,201402,M3/, ,v12029,0.004776917864,Y,0.004827389263,X,X,X,X, ,9/4/16,201402-32,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283314,UF283314,macrocranion,1,UF283336,201402,M/1 or M/2,R,v12029,0.005237519216,Y,0.005286577683,X,X,X,BROKEN,hypoconulid gone; both molars in layer are L,3/1/14,201402-36,NSV, ,TRUE,TRUE,TRUE,M7953, ,1
UF283316,UF283316,erinaceomorpha,3,UF283336,201402,M/1 or M/2,R,v12029,0.005237519216,Y,0.005286577683,X,X,BROKEN,:(, ,5/28/15,201402-36,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283336,UF283336,macrocranion,1,UF283336,201402,M/1 or M/2,L,v12029,0.005237519216,Y,0.005286577683,X,X,X,BROKEN,protoconid; both molars in layer are L,3/1/14,201402-36,NSV, ,TRUE,TRUE,TRUE,M7951, ,1
